date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:34	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	http://preview.uideck.com/robots.txt		(from )
15:23:34	25959/25959	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:36%20GMT	http://preview.uideck.com/items/thehunt/	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/index.html	(from )
15:23:35	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe1669-22682%22	http://preview.uideck.com/items/thehunt/assets/css/bootstrap.min.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/bootstrap.min.css	(from http://preview.uideck.com/items/thehunt/)
15:23:35	12091/12091	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe1667-39bc%22	http://preview.uideck.com/items/thehunt/assets/css/line-icons.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/line-icons.css	(from http://preview.uideck.com/items/thehunt/)
15:23:36	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe1670-d17%22	http://preview.uideck.com/items/thehunt/assets/css/owl.carousel.min.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/owl.carousel.min.css	(from http://preview.uideck.com/items/thehunt/)
15:23:36	902/902	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe1671-564%22	http://preview.uideck.com/items/thehunt/assets/css/owl.theme.default.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/owl.theme.default.css	(from http://preview.uideck.com/items/thehunt/)
15:23:36	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe166e-9c9%22	http://preview.uideck.com/items/thehunt/assets/css/slicknav.min.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/slicknav.min.css	(from http://preview.uideck.com/items/thehunt/)
15:23:37	55818/55818	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe166c-1105f%22	http://preview.uideck.com/items/thehunt/assets/css/animate.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/animate.css	(from http://preview.uideck.com/items/thehunt/)
15:23:37	59569/59569	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe60bc-13232%22	http://preview.uideck.com/items/thehunt/assets/css/main.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/main.css	(from http://preview.uideck.com/items/thehunt/)
15:23:38	8407/8407	---MCZ	200	added ('OK')	text/css	etag:W/%225bbe166f-2b11%22	http://preview.uideck.com/items/thehunt/assets/css/responsive.css	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/css/responsive.css	(from http://preview.uideck.com/items/thehunt/)
15:23:38	25959/25959	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:36%20GMT	http://preview.uideck.com/items/thehunt/index.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/index-2.html	(from http://preview.uideck.com/items/thehunt/)
15:23:39	1979/1979	---M--	200	added ('OK')	image/png	etag:%225bbe16da-7bb%22	http://preview.uideck.com/items/thehunt/assets/img/logo.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/logo.png	(from http://preview.uideck.com/items/thehunt/)
